,Hindi_key,Hindi_value,Punjabi_key,Punjabi_value
6,Select Mother Tongue,मातृभाषा चुनें,,
16,Username cannot be more than 12 characters,उपयोगकर्ता नाम 12 वर्णों से ज़्यादा का नहीं हो सकता,,
17,Username cannot be an email address or a mobile number,उपयोगकर्ता नाम कोई ईमेल पता या फ़ोन नंबर नहीं हो सकता,,
18,Username should be between 4 to 20 characters,उपयोगकर्ता नाम 4 से लेकर 20 वर्णों का होना चाहिए,,
19,This username is already taken,यह उपयोगकर्ता नाम पहले ही लिया जा चुका है,,
10,You are just 'x' sentences away from earning the Bronze Badge.,आप ब्रॉन्ज बैज जीतने से सिर्फ़ 'x' वाक्य दूर हैं,,
11,You are just 'x' sentences away from earning the Silver Badge.,आप सिल्वर बैज जीतने से सिर्फ़ 'x' वाक्य दूर हैं,,
12,You are just 'x' sentences away from earning the Gold Badge.,आप गोल्ड बैज जीतने से सिर्फ़ 'x' वाक्य दूर हैं,,
13,You are just 'x' sentences away from earning the Platinum Badge.,आप प्लैटिनम बैज जीतने से सिर्फ़ 'x' वाक्य दूर हैं,,
18,Congratulations!!! You have completed this batch of sentences,बधाई हो!!! आपने वाक्यों के इस बैच को पूरा कर लिया है,,
27,You've earned your Bronze badge,आपने अपना ब्रॉन्ज बैज जीत लिया है,,
28,You've earned your Silver badge,आपने अपना सिल्वर बैज जीत लिया है,,
29,You've earned your Gold badge,आपने अपना गोल्ड बैज जीत लिया है,,
30,You've earned your Platinum badge,आपने अपना प्लैटिनम बैज जीत लिया है,,
31,We love your spirit when you take the charge,"जब आप अपने कदम बढ़ाते हैं, हम आपकी भावनाओं की क़द्र करते हैं",,
32,"You are in control, lead the way","आप अपने कंट्रोल में हैं, अगुआई करें",,
33,Spread the word. Share it with your friends and family.,शब्द का विस्तार करें। इसे अपने दोस्तों और परिवार के साथ शेयर करें।,,
36,You are on a spree!,आप अच्छा कर रहे हैं!,,
66,"We do not have any data in ""Y"" language. Please try again later.","हमारे पास ""Y"" भाषा में कोई डेटा उपलब्ध नहीं है। कृपया बाद में फिर से कोशिश करें।",,
67,Would you like to contribute your voice?,क्या आप अपनी आवाज़ का योगदान देना चाहते हैं?,,
69,START CONTRIBUTING IN <Y>,<Y> में योगदान देना शुरू करें,,
72,I've contributed towards building open language repository for India on http://boloindia.nplt.in. You and I can make a difference by donating our voices that can help machines learn our language. Our <x> language ranks <y> on Bolo India. Do your bit and empower the language?,"मैंने http://boloindia.nplt.in पर भारत के लिए ओपन लैंग्वेज रिपॉज़िटरी बनाने में योगदान किया है। आप और मैं हमारी आवाज़ों का योगदान करके इस पहल में काफ़ी फ़र्क डाल सकते हैं जिससे मशीन को हमारी भाषा सीखने में मदद मिलती है। ""बोलो इंडिया"" पर हमारी <x> भाषा का रैंक <y> है। अपनी भाषा को सशक्त बनाने में अपना योगदान देना चाहेंगे?",,
4,Recorded,रिकॉर्ड किया गया,,
7,Count,संख्या,,
13,Speakers contributed,वक्ताओं का योगदान,,
18,Gender Distribution,लैंगिक ब्यौरा,,
21,Male,पुरुष,,
22,Female,महिला,,
24,Transgender - He,ट्रांसजेंडर - पुरुष,,
25,Transgender - She,ट्रांसजेंडर - महिला,,
26,Rather Not Say,बताना नहीं चाहते,,
31,Age Group Distribution,आयु वर्ग का ब्यौरा,,
32,Anonymous,गुमनाम,,
33,upto 10,10 तक,,
43,Contributed,योगदान किया गया,,
44,Speakers,वक्ता,,
45,hrs,घंटे,,
46,mins,मिनट,,
47,secs,सेकंड,,
49,Data last updated,अंतिम बार डेटा अपडेट करने की तारीख,,
51,"We do not have any data for this language, would you like to contribute for it?","हमारे पास इस भाषा के लिए कोई डेटा उपलब्ध नहीं है, क्या आप इसके लिए योगदान देना चाहते हैं?",,
52,Contribute Now,अभी योगदान करें,,
1,Quick Tips,झटपट सलाह,,
3,Recording Instructions,रिकॉर्ड करने के निर्देश,,
4,Please test your microphone,कृपया अपने माइक्रोफ़ोन की जांच करें,,
6,Ensure there is no background noise,पक्का करें कि बैकग्राउंड में कोई शोर न हो,,
7,Read once before recording it,रिकॉर्ड करने से पहले पढ़ें,,
8,Get started by clicking on Record button,रिकॉर्ड करें' बटन पर क्लिक करके शुरू करें,,
9,Start,शुरू करें,,
12,Validating Instructions,पुष्टि करने के निर्देश,,
13,Please test your speakers,कृपया अपने स्पीकर की जांच करें,,
14,Ensure the voice is clear and audible,पक्का करें कि आवाज़ स्पष्ट और सुनने लायक हो,,
15,Match the voice to the text accurately,आवाज़ और टेक्स्ट का सटीक मिलान करें,,
16,"If you are unsure of the match, skip the particular voice sample","अगर आप किसी मिलान को लेकर पक्के तौर पर नहीं कह सकते, तो आवाज़ के उस नमूने को छोड़ दें",,
0,RE-RECORD,फिर से रिकॉर्ड करें,,
1,STOP RECORDING,रिकॉर्ड करना बंद करें,,
4,START RECORDING,रिकॉर्ड करना शुरू करें,,
10,Recording will automatically stop after <x> Seconds,"रिकॉर्डिंग  <span id=""counter""></span> सेकंड के बाद अपने आप बंद हो जाएगी",,
12,Test your Microphone and Speakers,अपने माइक्रोफ़ोन और स्पीकर की जांच करें,,
13,Test Mic,माइक की जांच करें,,
14,Test Speaker,स्पीकर की जांच करें,,
15,Recording,रिकॉर्ड किया जा रहा है,,
16,Playing,प्ले हो रहा है,,
17,Background noise detected,बैकग्राउंड में शोर सुनाई दिया,,
18,Ambience noise detected,एंबियंस में शोर सुनाई दिया,,
19,"Recording for ""x"" seconds","""x"" सेकंड के लिए रिकॉर्ड किया जा रहा है",,
20,Playing back Audio,ऑडियो प्ले किया जा रहा है,,
25,"Hurting sentiments of religion, community or abusive content etc.","धर्म, समुदाय की भावनाओं को ठेस पहुँचाने वाला या बुरे बर्ताव वाला कॉन्टेंट",,
26,Prohibited Content,ऐसा कॉन्टेंट जिस पर पाबंदी लगी है,,
28,Political Statement,राजनीतिक बयान,,
29,"Hateful Political views, amplifying hate-speech etc.","नफ़रत फ़ैलाने वाली राजनीतिक सोच, नफ़रत बढ़ाने वाली बोली आदि",,
30,Misinformation,गलत जानकारी,,
31,"Hearsay / Rumors, deliberate falsified facts etc.","पाखंड / अफवाहें, जानबूझकर बताए गए झूठे तथ्य आदि",,
0,PLAY,प्ले करें,,
2,Instructions,निर्देश,,
3,RE-PLAY,फिर से प्ले करें,,
4,Incorrect,गलत,,
6,Pause,रोकें,,
9,Congratulations! You have validated a batch of recordings!,बधाई हो! आपके रिकॉर्डिंग के एक बैच की पुष्टि कर दी है।,,
0,Looks like you have taken a wrong turn here,शायद आप यहां गलती से आ गए हैं,,
1,Page Not Found,पेज नहीं मिला,,
2,"Click Here ""x"" to go back to home page","होम पेज पर वापस जाने के लिए यहां ""x"" पर क्लिक करें",,
3,An unexpected error occured while processing your request. Please try after some time.,आपके अनुरोध पर कार्रवाई करते समय एक अनपेक्षित गड़बड़ी हुई। कृपया कुछ समय बाद फिर से कोशिश करें।,,
4,Close,बंद करें,,
5,Error,गड़बड़ी,,
6,Oops,ओह,,
1,"Your feedback helps us keep Bolo India relevant, we appreciate you taking time to leave the feedback.","आपकी प्रतिक्रिया हमें ""बोलो इंडिया"" को प्रासंगिक बनाए रखने में मदद करती है, प्रतिक्रिया छोड़ने के लिए हम आपकी सराहना करते हैं।",,
4,Thank You for your valuable feedback,आपके बहुमूल्य प्रतिक्रिया के लिए शुक्रिया,,
5,Thank you,धन्यवाद,,
6,Back to Home,वापिस मुख पृष्ठ पर,,
8,Please type here,कृपया यहाँ टाइप करें,,
9,Failed to submit the feedback. Please try again.,प्रतिक्रिया सबमिट करने में विफल। कृपया पुन: प्रयास करें।,,
11,Subject,विषय,,
12,Description,विवरण,,
1,Help your language by donating your voice,अपनी आवाज़ दान करके अपनी भाषा की मदद करें,,
3,Contributions made to Bolo India,बोलो इंडिया में किए गए योगदान,,
4,languages,भाषाएं,,
7,Hours validated,इतने घंटे सत्यापित किए गए,,
9,by hours of data recorded and validated,रिकॉर्ड और सत्यापित किए गए डेटा के घंटों के हिसाब से,,
15,number of speakers,वक्ताओं की संख्या,,
1,"Earn badges or certificate by contributing to Bolo India. Donate your voice in language of your choice. Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Bolo India is in the diversity of the people i.e. YOU.","बोलो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में अपनी आवाज़ दान करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। बोलो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
4,The levels defined by an overall contributions on Bolo India. Please see the criteria that defines different levels below,बोलो इंडिया पर कुल योगदानों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें,,
6,Contributions (Contributing),योगदान (योगदान),,
9,Contributing : 5 sentences,योगदान : 5 वाक्य,,
12,Contributing : 50 sentences,योगदान : 50 वाक्य,,
15,Contributing : 100 sentences,योगदान : 100 वाक्य,,
18,Contributing : 200 sentences,योगदान : 200 वाक्य,,
21,"Please note that your levels and badges may take upto 48hrs to update. Your contribution does not expire, but will go through validation through Bolo crowdsourcing initiative. Please remain an active contributor to stand a chance to get recognised by the Ministry of Electronics and Information Technology.","कृपया ध्यान दें कि आपके लेवल और बैज अपडेट होने में 48 घंटे तक लग सकते हैं। आपके योगदान की समयसीमा ख़त्म नहीं होती है, लेकिन उसे बोलो इंडिया की क्राउडसोर्सिंग पहल के माध्यम से सत्यापन की प्रक्रिया से गुज़रना होता है। इलेक्ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय द्वारा मान्यता पाने का मौक़ा बनाए रखने के लिए, एक सक्रिय योगदानकर्ता बने रहें।",,
25,"Earn badges or certificate by contributing to Bolo India.  Validate the audio and text in your desired language.  Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Bolo India is in the diversity of the people i.e. YOU.","बोलो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में ऑडियो और टेक्स्ट को सत्यापित करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। सुनो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
28,The levels defined by an overall validations on Bolo India. Please see the criteria that defines different levels below:,बोलो इंडिया पर कुल सत्यापनों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें:,,
1,hours recorded,इतने घंटे रिकॉर्ड किए गए,,
8,10 - 30 years,10 - 30 वर्ष,,
9,30 - 60 years,30 - 60 वर्ष,,
10,60+ years,60+ वर्ष,,
1,Help your language by labelling images,इमेज को लेबल करके अपनी भाषा की मदद करें,,
5,Label,लेबल,,
6,Type the text as per the image,इमेज में दिया गया टेक्स्ट टाइप करें,,
11,"Validate the text, labelled by others, as per the image","इमेज में दिए गए टेक्स्ट को सत्यापित करें, जिसे दूसरे लोगों ने लेबल किया है",,
15,Contributions made to Dekho India,देखो इंडिया में किए गए योगदान,,
18,y' Images labelled,y इमेज लेबल किए गए,,
19,y' Images validated,y इमेज सत्यापित किए गए,,
23,Images labelled and validated,सत्यापित और लेबल की गई इमेज,,
24,Number of images,इमेज की संख्या,,
8,X Images labelled,X इमेज लेबल किए गए,,
9,X Images validated,X इमेज सत्यापित की गई,,
17,Images labelled,लेबल की गई इमेज,,
18,Images validated,सत्यापित की गई इमेज,,
19,Labelled,लेबल की गई,,
2,Captured Text,कैप्चर किया गया टेक्स्ट,,
13,Is the text from the image captured correctly?,क्या इमेज से टेक्स्ट को सही तरीके से कैप्चर किया गया है?,,
15,Click to open expanded view,बड़ा करके देखने के लिए क्लिक करें,,
0,Type the text from the image,इमेज से टेक्स्ट को टाइप करें,,
1,Thank you for contributing to Dekho India!,देखो इंडिया में योगदान देने के लिए आपका धन्यवाद!,,
19,You’ve won a Bronze/Silver/Gold/Platinum Badge for contributing to Dekho India.,देखो इंडिया में योगदान देने के लिए आपने कांस्य/रजत/स्वर्ण/प्लैटिनम बैज जीता है,,
20,Labelled X Images in [Language],[भाषा] में X इमेज लेबल किए गए,,
1,"Earn badges or certificate by contributing to Dekho India. Label an image in language of your choice. Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Dekho India is in the diversity of the people i.e. YOU.","देखो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में इमेज को लेबल करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। देखो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
4,The levels defined by an overall contributions on Dekho India. Please see the criteria that defines different levels below,देखो इंडिया पर कुल योगदानों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें,,
6,Contributions (Labelling),योगदान (लेबलिंग),,
9,Labelling : 5 images,लेबलिंग : 5 इमेज,,
12,Labelling : 50 images,लेबलिंग : 50 इमेज,,
15,Labelling : 100 images,लेबलिंग : 100 इमेज,,
18,Labelling : 200 images,लेबलिंग : 200 इमेज,,
25,"Earn badges or certificate by contributing to Dekho India.  Validate the images and labels in your desired language.  Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Dekho India is in the diversity of the people i.e. YOU.","देखो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में इमेज और लेबल को सत्यापित करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। देखो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
28,The levels defined by an overall validations on Dekho India. Please see the criteria that defines different levels below:,देखो इंडिया पर कुल योगदानों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें:,,
33,Validating : 5 images,सत्यापन : 5 इमेज,,
36,Validating  : 50 images,सत्यापन : 50 इमेज,,
39,Validating : 100 images,सत्यापन : 100 इमेज,,
42,Validating : 200 images,सत्यापन : 200 इमेज,,
1,(Same as About Us tab),हमारे बारे में,,
4,"One Platform, 4 Crowdsourcing Initiatives","एक प्लैटफ़ॉर्म, 4 क्राउडसोर्सिंग पहल",,
5,"Help create open repository of Speech Recognition data, Parallel translations and Labelled Images","बोली पहचान के डेटा, समानांतर अनुवाद और लेबल वाली इमेज की ओपन रिपॉज़िटरी बनाने में मदद करें",,
7,<same as suno india>,सुनो इंडिया,,
8,Contribute by typing what you hear on audio,ऑडियो पर सुनकर टाइप करें और योगदान दें,,
9,Validate the texts transcribed by others,दूसरों के द्वारा लिप्यंतरित टेक्स्ट को सत्यापित करें,,
15,<same as bolo india>,बोलो इंडिया,,
16,Contribute by recording your voice on the prompted text,सामने दिख रहे टेक्स्ट पर अपनी आवाज़ रिकॉर्ड करके योगदान दें,,
17,Validate the audio recorded by others,दूसरों के द्वारा रिकॉर्ड किए गए ऑडियो को सत्यापित करें,,
20,100 hours each,100 घंटे प्रत्येक,,
23,<same as Likho india>,लिखो इंडिया,,
24,Contribute by translating the prompted text in your language,सामने दिख रहे टेक्स्ट का अपनी भाषा में अनुवाद करके योगदान दें,,
25,Validate the translations contributed by others,दूसरों के योगदान वाले अनुवादों को सत्यापित करें,,
28,10000 translations each,10000 घंटे प्रत्येक,,
31,<same as Dekho india>,देखो इंडिया,,
32,Contribute by labelling the image,इमेज को लेबल करके योगदान दें,,
33,Validate the images labelled by others,दूसरों के द्वारा लेबल की गई इमेज को सत्यापित करें,,
34,Monthly Goal : ,मासिक लक्ष्य:,,
35,12 languages,12 भाषाएं,,
36,10000 images each,10000 इमेज प्रत्येक,,
38,Start Participating,भागीदारी करना शुरू करें,,
40,[Bhaashini] for everyone,[भाषिणी] सभी के लिए,,
41,"Like every Indian, be part of this initiative and make a difference in creating open data repositories for the Digital India","हर भारतीय की तरह, इस पहल का हिस्सा बनें और डिज़िटल इंडिया के लिए ओपन डेटा रिपॉज़िटरी बनाकर इस मकसद को पूरा करें",,
43,"Engage with Bhaashini and earn badges, for helping your languages win their pride back","भाषिणी के साथ जुड़ें और बैज जीतें, ताकि आप अपनी भाषाओं की मदद करके उनका गौरव वापस ला सकें",,
46,Win a Bronze Badge,कांस्य बैज जीतें,,
47,Contribute just 5 sentences in your language,अपनी भाषा में सिर्फ़ 5 वाक्यों का योगदान दें,,
0,[Bhaashini] : A crowdsourcing initiative for Indian languages,[भाषिणी] भारतीय भाषाओं के लिए क्राउडसोर्सिंग पहल,,
1,"[Bhaashini] aims to create open datasets to develop Speech Recognition, Text-to-Speech, Machine Translation and Optical Character Recognition for Indian languages. This initiative will empower our technologists, language enthusiasts and language communities to build world class digital applications in our own local languages. ","[भाषिणी] का मकसद भारतीय भाषाओं के लिए बोली पहचान करने, टेक्स्ट को बोली में बदलने, मशीन अनुवाद और ऑप्टिकल कैरेक्टर रिकॉग्निशन (ओसीआर) की तकनीक तैयार करने के लिए ओपन डेटासेट बनाना है। इस पहल से हमारे टेक्नोलॉजी विशेषज्ञों, भाषा के जानकारों और भाषा समुदायों को हमारी अपनी स्थानीय भाषाओं में विश्व स्तरीय डिज़िटल ऐप्लिकेशन तैयार करने में मदद मिलेगी।",,
2,Help Indian languages become atma-nirbhar through these datasets,इन डेटाबेसों के ज़रिए भारतीय भाषाओं को आत्मनिर्भर बनने में मदद करें,,
3,"This is an effort by MeitY, Government of India, under the National Language Translation Mission (NLTM). This effort is supported by EkStep Foundation on a pro-bono basis and leverages its open source work under https://sunbird.org/projects/vakyansh along with various other open source frameworks.","यह राष्ट्रीय भाषा अनुवाद मिशन (एनएलटीएम) के तहत, भारत सरकार के इलेक्ट्रोनिक्स एवं सूचना प्रौद्योगिकी मंत्रालय (Meity) का एक प्रयास है। इस प्रयास को प्रो-बोनो आधार पर, एकस्टेप फाउंडेशन का समर्थन प्राप्त है और वह विभिन्न अन्य ओपन सोर्स फ़्रेमवर्क के साथ-साथ https://sunbird.org/projects/vakyansh के तहत इसके ओपन सोर्स वर्क का लाभ उठाता है।  ",,
4,"India is a land of many languages, our digital strategy must reflect it.",भारत कई भाषाओं वाला देश है और हमारी डिज़िटल रणनीति में यह दिखना ज़रूरी है।,,
5,90% of India's population uses regional languages to conduct their day-to-day activities.,भारत की 90% आबादी अपनी रोज़मर्रा की गतिविधियों के लिए क्षेत्रीय भाषाओं का इस्तेमाल करती है।,,
6,"As more and more people use digital platforms for financial, educational and social activities, digital platforms must work seamlessly in all Indian Languages.","जैसे-जैसे ज़्यादा से ज़्यादा लोग वित्तीय, शैक्षणिक और सामाजिक गतिविधियों के लिए डिज़िटल प्लैटफ़ॉर्म का इस्तेमाल करते हैं, डिज़िटल प्लैटफ़ॉर्म को सभी भारतीय भाषाओं में निर्बाध तरीके से काम करना चाहिए।",,
8,Help your own language,अपनी भाषा की मदद करें,,
9,"We need to build speech recognition, text-to-speech, machine translation and OCR technologies that are tuned for your language.","हमें बोली पहचान करने, टेक्स्ट को बोली में बदलने, मशीन अनुवाद और ऑप्टिकल कैरेक्टर रिकॉग्निशन (ओसीआर) की ऐसी टेक्नोलॉजी तैयार करने की ज़रूरत है जो आपकी भाषा के हिसाब से सही हो।",,
10,"These technologies will transform your language to become ""digital first"" in various sectors such as: education, healthcare and media.","इस तरह की टेक्नोलॉजी शिक्षा, स्वास्थ्य और मीडिया जैसे विभिन्न क्षेत्रों में आपकी भाषा को ""डिज़िटल फर्स्ट"" बना देगी।",,
11,"The tools, utilities and models proposed to be developed in your language will rely on open source contributions through the Bhaashini crowd sourcing platform","आपकी भाषा में जिन टूल, मॉडल और उपयोगी चीज़ों को तैयार करने का प्रस्ताव किया गया है वे भाषिणी क्राउड सोर्सिंग प्लैटफ़ॉर्म के ज़रिए ओपन सोर्स योगदानों पर निर्भर करेंगी। ",,
13,Crowd Sourcing & your contribution,क्राउड सोर्सिंग और आपका योगदान,,
14,The above mentioned technologies rely on AI technology that requires large datasets in their respective fields. ,उक्त टेक्नोलॉजी एआई टेक्नोलॉजी पर निर्भर करती है जिसके लिए उनके संबंधित फ़ील्ड में बड़े डेटासेट की ज़रूरत होती है।,,
15,[Bhaashini] currently has four crowdsoucing initiatives to create these datasets -,"[भाषिणी] फ़िलहाल, इन डेटाशीट को बनाने के लिए चार क्राउडसोर्सिंग पहल मौजूद हैं - ",,
16,"1. Bolo India creates a repository of diverse voices speaking Indian languages, where volunteer reads the corresponding text. ",1. बोलो इंडिया भारतीय भाषाओं में बोली जाने वाली विभिन्न आवाज़ों की एक रिपॉज़िटरी बनाता है जहां वोलंटियर संबंधित टेक्स्ट को पढ़ते हैं।,,
17,2. Suno India creates an open dataset through transcription of audio files.,2. सुनो इंडिया ऑडिट फ़ाइलों के लिप्यंतरण के ज़रिए ओपन डेटासेट बनाता है।,,
18,3. Likho India creates open parallel translation datasets between corresponding sentences in two languages.,3. लिखो इंडिया दो भाषाओं में संबंधित वाक्यों के बीच ओपन समानांतर अनुवाद डेटासेट बनाता है।,,
19,4. Dekho India creates an open data repository of images and the corresponding text.,4. देखो इंडिया इमेज और संबंधित टेक्स्ट का एक ओपन डेटा रिपॉज़िटरी बनाता है।,,
20,This is where you come in,यहीं आपकी भूमिका शुरू होती है,,
21,We are inviting you to join us and voluntarily contribute to this initiative. Contributing at one stretch can be overwhelming hence you can do this by visiting the website multiple times and commence from where you left us off,"हम आपको इस पहल में हमारे साथ जुड़ने और स्वेच्छा से योगदान देने के लिए आमंत्रित करते हैं। एक पहल में योगदान करना बेहतरीन हो सकता है, इसलिए आप कई बार वेबसाइट पर जाकर और पिछली बार जहां छोड़ा था वहीं से शुरू करके ऐसा कर सकते हैं",,
22,Every minute of your contribution will make a huge difference and bring us closer to our objective,हर मिनट के आपके योगदान से काफ़ी फ़र्क पड़ेगा और यह हमें हमारे लक्ष्य के ज़्यादा करीब लाएगा,,
23,Start Contributing,योगदान देना शुरू करें,,
1,Bolo India,बोलो इंडिया,,
3,Dekho India,देखो इंडिया,,
6,Translate Page,अनुवाद पेज,,
7,Localization,लोकलाइजेशन,,
9,About Us,हमारे बारे में,,
10,Terms & Conditions,नियम और शर्तें,,
11,Privacy Policy,निजता नीति,,
16,Feedback,प्रतिक्रिया,,
17,Help us find more people like you,अपने जैसे ज़्यादा लोगों को ढूंढने में हमारी मदद करें,,
18,Invite more people,ज़्यादा लोगों को बुलावा भेजें,,
20,Konkani Roman,कोंकणी रोमन,,
21,Konkani DV,कोंकणी डीवी,,
22,Manipuri BN,मणिपुरी बीएन,,
23,Manipuri MM,मणिपुरी एमएम,,
24,Santali OL,संथाली ओएल,,
25,Santali DV,संथाली डीवी,,
26,English,अंग्रेज़ी,,
27,ASSAMESE,असमिया,,
28,BENGALI,बंगाली,,
29,BODO,बोडो,,
30,DOGRI,डोगरी,,
31,GUJARATI,गुजराती,,
32,Hindi,हिंदी,,
33,KANNADA,कन्नड़,,
34,KASHMIRI,कश्मीरी,,
35,MAITHILI,मैथिली,,
36,Malayalam,मलयालम,,
37,MARATHI,मराठी,,
38,ODIA,उड़िया,,
39,NEPALI,नेपाली,,
40,PUNJABI,पंजाबी,,
41,SANSKRIT,संस्कृत,,
42,SINDHI,सिंधी,,
43,TAMIL,तमिल,,
44,Telugu,तेलुगु,,
45,URDU,उर्दू,,
47,Telangana,तेलंगाना,,
48,Andaman and Nicobar Islands,अंडमान और निकोबार द्वीपसमूह,,
49,Andhra Pradesh,आंध्रप्रदेश,,
50,Arunanchal Pradesh,अरुणाचल प्रदेश,,
51,Assam,असम,,
52,Bihar,बिहार,,
53,Chhattisgarh,छत्तीसगढ़,,
54,Goa,गोवा,,
